title,label,label_encoder,cleaned_text
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,FAKE,0,things every american know donald trump plan save economy
The next president can have a big impact on climate policy — even without Congress,REAL,1,next president big impact climate policy even without congress
Look at the SHOCKING Number of Kids Born To Illegals in 2014,FAKE,0,look shock number kid bear illegals 2014
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,FAKE,0,mother daughter remind msnbc reporter trump black supporters
Justice Department Staffers Monitor Polls on Election Day,REAL,1,justice department staffers monitor poll election day
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,FAKE,0,elizabeth warren blast fbi director hillary instead wall street crook
Poll: 71 percent of Dems think Clinton should keep running even if indicted,REAL,1,poll percent dems think clinton keep run even indict
Trumped!,FAKE,0,trump
Is the Iran deal unraveling? Think again. | Institution,REAL,1,iran deal unravel think institution
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,FAKE,0,saturn baffle hexagon rag storm four time size earth change color
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",FAKE,0,cyrus mistry rename rohit sharma mistry get job back
The FBI intervenes in the 2016 election,FAKE,0,fbi intervene 2016 election
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",FAKE,0,donald trump win years months days old first full day office
Shutdown clash to return in force by December,REAL,1,shutdown clash return force december
Classless Obama Refuses Photo-Op of White House Welcome with Trump,FAKE,0,classless obama refuse photo white house welcome trump
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,FAKE,0,comment maryland trump supporter switch vote hillary misterdawg
Stuff in the News That No One Is Talking About Because of the Election,FAKE,0,stuff news one talk election
Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,REAL,1,blizzard charge countercharges melt away opinions trump clinton freeze
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,FAKE,0,social media censor fbi open clinton email investigation
Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,REAL,1,obama inch closer veto proof support iran nuclear deal
How Clinton plans to stop Sanders' momentum,REAL,1,clinton plan stop sanders momentum
Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,REAL,1,martin malley praise senate democrats hold trade deal
Shi’ite Militias Join Iraq’s Mosul Attack,FAKE,0,shi ite militias join iraq mosul attack
‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,REAL,1,super pac get early start push 2016 clinton campaign
Christianity under attack: US must do more to promote religious freedom,REAL,1,christianity attack must promote religious freedom
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,FAKE,0,taxpayers pay millions dollars year privilege spy
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,FAKE,0,video journalist shoot militarize police stand rock conduct interview
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",REAL,1,buffett run feed would raise rat significantly
Are Tensions With Russia Even Real?,FAKE,0,tensions russia even real
Iran agrees to nuclear restrictions in framework deal with world powers,REAL,1,iran agree nuclear restrictions framework deal world power
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,FAKE,0,comment constipation body constipation body thehealthology
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,FAKE,0,fifteen quote prove false flag terrorism existence shadow government
"Bernie Sanders’s vast universe of donors, mapped",REAL,1,bernie sanders vast universe donors map
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",FAKE,0,former ambassador andrew young call end water fluoridation civil right issue
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,FAKE,0,trump new portray every mother worst nightmare nothing short chill
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,FAKE,0,undercover video expose obama plan make american gun laws like britain truthfeed
So That Happened: Did Obama Forget That The GOP Runs Congress?,REAL,1,happen obama forget gop run congress
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",FAKE,0,syrian war report november 2016 isis nusra attempt cut govt supply line aleppo
Should Christians Celebrate Halloween?,FAKE,0,christians celebrate halloween
Sunday in Charleston: Worship at Emanuel AME,REAL,1,sunday charleston worship emanuel ame
Only Making Matters Worse in Syria,FAKE,0,make matter worse syria
"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",REAL,1,fact check hillary clinton speech democratic convention annotate
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,FAKE,0,bust clinton foundation directly tie plot steal election
Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,REAL,1,connecticut become first state boycott indiana lgbt discrimination law
Scott Walker Confronts Doubts About His Grasp of Foreign Policy,REAL,1,scott walker confront doubt grasp foreign policy
Iran carries out new ballistic missile test,REAL,1,iran carry new ballistic missile test
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,FAKE,0,assange donald trump win allow win clinton isis fund interest
Why Joe Biden can't get no respect,REAL,1,joe biden get respect
"Come on, Paul Ryan must be running in 2016, right? Right?",REAL,1,come paul ryan must run 2016 right right
Why Bernie Sanders needs to start winning big states — big,REAL,1,bernie sanders need start win big state big
Leaked: What’s in Obama’s trade deal,REAL,1,leak obama trade deal
"Michael Moore admits no women ever melted the ice caps, bombs American history",FAKE,0,michael moore admit women ever melt ice cap bomb american history
Someone Isn't Telling The Truth About Freddie Gray's Death,REAL,1,someone tell truth freddie gray death
Prison employee pleaded not guilty to aiding escape of two murderers,REAL,1,prison employee plead guilty aid escape two murderers
Culchie Tries To Explain Rules Of 25 One More Time,FAKE,0,culchie try explain rule one time
Election Day: No Legal Pot In Ohio; Democrats Lose In The South,REAL,1,election day legal pot ohio democrats lose south
President Trump: A colossal failure for democracy and our terrifying new reality,REAL,1,president trump colossal failure democracy terrify new reality
Who had to go :-),FAKE,0,
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,FAKE,0,raqqa mosul politicians fiddle middle east burn
Chris Christie losing home-state donors as Jeb Bush makes inroads,REAL,1,chris christie lose home state donors jeb bush make inroads
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,FAKE,0,washington home depot store receive order five thousand gallons gold exterior paint
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,FAKE,0,western lynch mob russia tie absurd anots information
Can Sanders rally supporters around Clinton after DNC email leak?,REAL,1,sanders rally supporters around clinton dnc email leak
'Historic' climate deal in sight as nations parse final text,REAL,1,historic climate deal sight nations parse final text
We Live In A Time Where Each Individual Has Immense Power,FAKE,0,live time individual immense power
"Trump slams 'corrupt' media, as more women make sexual assault claims",REAL,1,trump slam corrupt media women make sexual assault claim
Only Demented Imbeciles Want A Killary Reign Of Terror,FAKE,0,demented imbeciles want killary reign terror
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,FAKE,0,anti trump advert side bus really visually clever see motion
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,FAKE,0,americans disconnect reality insouciant become euphemism
The 5 unspoken rules for covering Hillary Clinton,REAL,1,unspoken rule cover hillary clinton
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",FAKE,0,hillary melt weiner public pics prove campaign implode
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,FAKE,0,clinton trump latest electoral prediction greg lade blog science technology
Jubilee Year of Mercy ends on November 20. Following Judgment?,FAKE,0,jubilee year mercy end november follow judgment
Iraq launches operation against ISIS in Anbar province,REAL,1,iraq launch operation isis anbar province
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,FAKE,0,ukip meps steven woolfe mike hookem report french police strasbourg scuffle
Justices Kennedy and Scalia and their divide on gay rights,REAL,1,justices kennedy scalia divide gay right
Justice Clarence Thomas Describes Washington DC As “Broken”,FAKE,0,justice clarence thomas describe washington break
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",FAKE,0,week picture week october 2016 onion america finest news source
Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',REAL,1,jeb bush foreign policy plan military spend encourage peace
"John Kasich: He’s Conservative, but at Least He’s Sane",REAL,1,john kasich conservative least sane
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL,1,2006 audio emerge hillary clinton propose rig palestine election
Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,REAL,1,authorities search clue raid thwart potential belgian charlie hebdo attack
8 classic football banners of our time,FAKE,0,classic football banners time
Tweetwave,FAKE,0,tweetwave
Trump’s Gettysburg Address against the New World Order,FAKE,0,trump gettysburg address new world order
Debate Goals for the Democratic Candidates,REAL,1,debate goals democratic candidates
'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,REAL,1,spin speak email show pentagon ready roll benghazi attack occur
A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,REAL,1,case study obamacare lawsuit base mythical history
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,FAKE,0,trump proudly declare people insult deserve
Dems sue GOP over Trump's 'rigged' complaints,FAKE,0,dems sue gop trump rig complaints
US Airstrikes on Iraqi Army Slowing Advance on Mosul,FAKE,0,airstrikes iraqi army slow advance mosul
Iran letter blowback startles GOP,REAL,1,iran letter blowback startle gop
"Clinton Camp Desperate, Russia Trains for WWIII",FAKE,0,clinton camp desperate russia train wwiii
Donald Trump's GOP civil war,REAL,1,donald trump gop civil war
Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,FAKE,0,comment taint measles vaccine kill children syria tragic deaths use promote vaccine fear fence vaccines
Laura Bush hints she'd rather see Hillary as president,REAL,1,laura bush hint rather see hillary president
"Scott Walker, Rick Perry show limits of super PACs",REAL,1,scott walker rick perry show limit super pacs
If Catcalls Were Politically Correct…,FAKE,0,catcall politically correct
Why Hillary Won't Unleash WWIII    : Information,FAKE,0,hillary win unleash wwiii information
Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,REAL,1,time reconsider lifetime appointments supreme court
"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",REAL,1,clinton delegate win dem nomination report sanders question tally
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',FAKE,0,hillary implode trump take everything pay nothing support
"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",REAL,1,trump say obama bear period new birther dust
"MH370: If debris is part of missing plane, what's next?",REAL,1,mh370 debris part miss plane next
GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,FAKE,0,google plan massive integrate social network spy tool hillary campaign 2014
Israel stole classified US information and used it to help congressional Republicans,REAL,1,israel steal classify information use help congressional republicans
"""America has a simple ideology"": how one of Russia's top US experts explains America",REAL,1,america simple ideology one russia top experts explain america
Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,REAL,1,poll show trump make point weeks like poll
"Chaos on House floor as Dems, Republicans clash over LGBT proposal",REAL,1,chaos house floor dems republicans clash lgbt proposal
"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",FAKE,0,new study link fluoride consumption hypothyroidism weight gain worse
"Clinton, Sanders accuse Trump of inciting violence",REAL,1,clinton sanders accuse trump incite violence
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,FAKE,0,memo next administration defense spend must actual defense
"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",REAL,1,new responses hillary clinton insist email setup matter convenience
Trump mulls alternative options for making Mexico finance 'the wall',REAL,1,trump mull alternative options make mexico finance wall
The circus of liars - America's three rings of evil clowns,FAKE,0,circus liars america three ring evil clown
"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",REAL,1,donald trump say university education actually goal sell sell sell
Trump Has Forever Changed American Politics,FAKE,0,trump forever change american politics
Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,REAL,1,kerry adviser marie harf twitter fight iran nuke
"The role of the US and Nato in EU relations with China, by Manlio Dinucci",FAKE,0,role nato relations china manlio dinucci
The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,REAL,1,daily 202 many african americans unenthusiastically settle hillary clinton
"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",REAL,1,100 000 people come recent bernie sanders rally
Trump The President: What Does That Mean For The World? - CounterCurrents.org,FAKE,0,trump president mean world countercurrents org
"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",REAL,1,fleece congress grill kerry obama officials iran nuke deal
"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",REAL,1,000 page hack wikileaks email teach hillary clinton
Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,FAKE,0,comment break cdc block testimony senior scientist blow whistle severe medical malpractice cdc accuse block testimony senior scientist new york malpractice injury lawyer blog
FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,FAKE,0,fox news admit make story hillary indict foundation
Repudiating the Media,FAKE,0,repudiate media
Buchanan Smashes CNN Shill,FAKE,0,buchanan smash cnn shill
The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,FAKE,0,impossible happen cub win world series yes hillary clinton likely indict
America After Election 2016: the Gullible and the Shattered - David Kerans,FAKE,0,america election 2016 gullible shatter david kerans
Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),FAKE,0,anderson cooper absolutely kellyanne conway fbi clear hillary video
‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,FAKE,0,schlonged nyt fbi reopen hillary probe thank anthony weiner
